job,need_size,event,request,request_date
office manager,small,ceremony,"I would like to request the following paper supplies for the ceremony:

- 200 sheets of Glossy paper
- 10 sheets of Cardstock
- 20 sheets of Colored paper

I need these supplies delivered by April 15, 2026. Thank you.",02/01/26
hotel manager,small,parade,"I would like to place an order for 100 sheets of Butcher paper. Please deliver the supplies by April 15, 2026. Thank you.",01/01/26
school board resource manager,large,conference,"I need to order 150 sheets of photo paper, 5,000 sheets of A3 paper, and 500 reams of printer paper. The supplies must be delivered by April 15, 2026, for our upcoming conference. Please confirm the order and delivery schedule.",02/01/26
- 500 sheets of glossy A4 paper
- 1000 sheets of matte A3 paper
- 300 poster boards (24"" x 36"")
- 200 sheets of heavyweight cardstock

We need these supplies delivered by April 15, 2026. Thank you.",04/07/26
school board resource manager,large,ceremony,"I would like to place a large order for the following paper supplies for an upcoming ceremony:

- 500 sheets of A4 glossy paper
- 100000 sheets of A4 matte paper
- 2000000 sheets of A5 colored paper
- 3000 sheets of A4 recycled paper

We need these supplies delivered by April 15, 2026. Thank you.",04/07/26
city hall clerk,small,reception,"I would like to place an order for the following paper supplies for the reception:

- 200 sheets of A4 white printer paper
- 100 sheets of A3 glossy paper
- 50 packets of 100% recycled kraft paper envelopes

I need these supplies delivered by April 10, 2026. Thank you.",04/07/26
business owner,medium,show,"I would like to place an order 100 sheets of Colored paper for our upcoming show. We need the supplies delivered by April 15, 2026.",04/08/26
event manager,small,exhibition,"I would like to order 500 sheets of Glossy paper and 30 sheets of Cardstock for our exhibition. The supplies are needed by April 15, 2026. Thank you.",04/08/26
city hall clerk,small,party,"I would like to order 200 sheets of colorful cardstock, 500 sheets of standard printer paper, and 100 paper napkins for our upcoming party. Please deliver these supplies by April 15, 2026.",04/08/26
school principal,small,gathering,"I would like to order 500 sheets of printing paper and 200 sheets of cardstock for our upcoming gathering. Please deliver the supplies by April 10, 2026.",04/08/26
city hall clerk,large,performance,"I would like to place a large order for high-quality paper supplies for our upcoming performance. We need 5,000 sheets of A4 paper, 2,000 sheets of poster paper in various colors, and 500 sheets of cardstock. Please deliver these supplies by April 15, 2026. Thank you.",04/09/26
event manager,large,demonstration,"I would like to place a large order for high-quality paper supplies for our upcoming demonstration. Please provide the following:

- 10,000 sheets of A4 white paper
- 5,000 sheets of A3 colored paper (assorted colors)
- 500 reams of cardboard for signage

I need these supplies delivered by April 15, 2026. Thank you.",04/03/26
school teacher,small,assembly,"I would like to place an order for 500 sheets of A4 printer paper, 200 sheets of colorful construction paper, and 100 sheets of poster board. I need these supplies delivered by April 15, 2026, in time for our assembly event.",04/10/26
restaurant manager,medium,reception,"I would like to place a medium order for the following paper supplies for our upcoming reception:
- 100000 sheets of A4 white printer paper
- 50000 sheets of A3 colored paper (assorted colors)
- 2000 table napkins (white)
- 1000 paper cups (biodegradable)
- 500 paper plates (biodegradable)
I need these supplies delivered by April 15, 2026. Thank you.",04/02/26
